"","player_name","drafted","GP","min_total","adjoe","ht_rev","Min_per"
"65","A.J. WILSON","No",19,108.3,91.6601,78,5.7
"66","A.J. YOUNGMAN","No",30,823.8,87.4096174799709,76,27.46
"67","AAKIM SAINTIL","No",59,3820.2,96.608197685985,72,64.7491525423729
"68","AALIM MOOR","No",61,493.5,85.46635408308,75,8.09016393442623
"69","AAMAHD WALKER","No",15,52.5,85.6685211428572,74,3.5
"70","AAMAHNE SANTOS","No",58,4106,84.6101296639065,70,70.7931034482759
"71","AAMIR MCCLEARY","No",37,2538.6,86.4151252186244,73,68.6108108108108
"72","AAMIR SIMMS","No",122,7567.8,113.637823198287,79.5,62.0311475409836
"73","AANEN MOODY","No",49,2055.8,98.8692051075007,75,41.9551020408163
"74","AAREN EDMEAD","No",120,5260.6,86.7904566969547,70,43.8383333333333
"75","AAREN SMITH","No",5,1.9,34.5170310526316,78,0.38
"76","AARIAS AUSTIN","No",8,58.4,96.5169,76,7.3
"77","AARIC ARMSTEAD","No",115,7913.9,93.0993913847787,77,68.8165217391304
"78","AARIC MURRAY","No",126,8260.5,115.913800363174,82,65.5595238095238
"79","AARIS-MONTE BONDS","No",6,214.8,70.0075,78,35.8
"80","AARON ADEOYE","No",88,3858.7,82.8514051519942,78.6666666666667,43.8488636363636
"81","AARON ALSTON","No",11,71.5,50.4224,79,6.5
"82","AARON ANDERSON","No",288,19319.3,99.5745611300617,74.2,67.0809027777778
"83","AARON ARIRI","No",62,1070,75.6479884485981,80,17.258064516129
"84","AARON ARMSTEAD","No",87,3860.9,94.6477309435624,76,44.3781609195402
"85","AARON ASP","No",23,72.1,48.4382359223301,70,3.13478260869565
"86","AARON AUGUSTIN","No",64,2674.8,77.1373258411844,71,41.79375
"87","AARON AUSTIN","No",48,970.5,64.9767686965482,75,20.21875
"88","AARON BACOTE","No",137,9233,109.908508485866,76.75,67.3941605839416
"89","AARON BLOSSER","No",6,3.2,109.7825925,75,0.533333333333333
"90","AARON BODAGER","No",89,4124.7,99.0410980434941,77,46.3449438202247
"91","AARON BODIE","No",2,0.6,-6.98034,79,0.3
"92","AARON BOND","No",6,5.8,120.294969310345,76.5,0.966666666666667
"93","AARON BOWEN","No",110,3251.9,102.695718478428,78,29.5627272727273
"94","AARON BRACKETT","No",62,3289.1,89.6782415645617,80,53.05
"95","AARON BRENNAN","No",117,5971.8,100.680329870391,78,51.0410256410256
"96","AARON BRIGGS","No",1,0.2,-7.23084,72,0.2
"97","AARON BRIGHT","No",134,8288.3,107.833005513797,71,61.8529850746269
"98","AARON BROUSSARD","No",87,6081.7,108.103696778861,77,69.9045977011494
"99","AARON BROWN","No",277,12296.2,108.309757762561,77.4166666666667,44.3906137184116
"100","AARON CALIXTE","No",129,8736.5,95.5118870085275,71,67.7248062015504
"101","AARON CAMPBELL","No",3,0.9,14.248,73,0.3
"102","AARON CARTER","No",94,4937.7,108.07751515888,76,52.5287234042553
"103","AARON CARVER","No",125,5924.2,85.8493092552581,79,47.3936
"104","AARON CHEATUM","No",16,116.8,63.9471,79,7.3
"105","AARON CLARKE","No",77,4735.8,100.671214531864,73,61.5038961038961
"106","AARON CLAYBORN","No",133,5623.4,89.6694148931252,78,42.2812030075188
"107","AARON COOK","No",130,6746.5,98.4723228474024,73.6,51.8961538461538
"108","AARON COOPER","No",14,50.4,58.0316,70,3.6
"109","AARON COSBY","No",116,7948,103.15783771389,75,68.5172413793103
"110","AARON CRAFT","No",148,12007.4,110.151403193031,74,81.1310810810811
"111","AARON DELONEY","No",42,1099.2,82.7337444323144,72,26.1714285714286
"112","AARON DEVAN","No",5,1.5,-0.117761,NA,0.3
"113","AARON DEVANE","No",8,12,27.7975,71,1.5
"114","AARON DOTSON","No",71,3240.1,83.6423946075738,NA,45.6352112676056
"115","AARON DOUGLAS","No",5,2.1,84.2226776190476,73,0.42
"116","AARON DUHART","No",50,1614.9,86.3119326397919,72,32.298
"117","AARON ELLIS","No",102,4342.6,90.163090881039,81,42.5745098039216
"118","AARON ENGLAND","No",26,985.4,86.7136,77,37.9
"119","AARON EPPS","No",105,3758.1,116.00383760943,81.75,35.7914285714286
"120","AARON ESTRADA","No",37,1352.8,99.0742999112951,76,36.5621621621622
"121","AARON FALZON","No",109,5014.2,103.910943805592,80,46.0018348623853
"122","AARON FIEGEN","No",17,30,118.64976,79,1.76470588235294
"123","AARON FOSTER-SMITH","No",31,671.6,99.9220265634306,79,21.6645161290323
